Date,First_date,First_year,Last_day,Last_year
1936-1937,Oct-21,(1936),Apr-03,(1937)
1937-1938,Nov-18,(1937),Mar-05,(1938)
1938-1939,Oct-22,(1938),Apr-18,(1939)
1939-1940,Oct-30,(1939),Mar-27,(1940)
1940-1941,Nov-11,(1940),Mar-22,(1941)
1941-1942,Nov-01,(1941),Mar-20,(1942)
1942-1943,Sep-26,(1942),Mar-19,(1943)
1943-1944,Nov-06,(1943),Apr-15,(1944)
1944-1945,Nov-23,(1944),Apr-04,(1945)
1945-1946,Nov-08,(1945),May-12,(1946)
1946-1947,Nov-09,(1946),May-06,(1947)
1947-1948,Nov-07,(1947),Apr-01,(1948)
1948-1949,Nov-20,(1948),Apr-14,(1949)
1949-1950,Nov-16,(1949),Apr-29,(1950)
1950-1951,Nov-08,(1950),Apr-07,(1951)
1951-1952,Oct-30,(1951),Apr-09,(1952)
1952-1953,Nov-24,(1952),Apr-25,(1953)
1953-1954,Nov-21,(1953),May-03,(1954)
1954-1955,Oct-31,(1954),Mar-23,(1955)
1955-1956,Oct-29,(1955),Apr-29,(1956)
1956-1957,Nov-15,(1956),Apr-10,(1957)
1957-1958,Nov-08,(1957),Apr-06,(1958)
1958-1959,Nov-05,(1958),Mar-16,(1959)
1959-1960,Oct-08,(1959),Mar-25,(1960)
1960-1961,Nov-17,(1960),Apr-17,(1961)
1961-1962,Sep-30,(1961),Apr-12,(1962)
1962-1963,Nov-23,(1962),Apr-23,(1963)
1963-1964,Dec-02,(1963),Apr-14,(1964)
1964-1965,Nov-19,(1964),Apr-25,(1965)
1965-1966,Nov-11,(1965),Apr-08,(1966)
1966-1967,Oct-15,(1966),May-01,(1967)
1967-1968,Oct-27,(1967),Apr-23,(1968)
1968-1969,Nov-06,(1968),Apr-28,(1969)
1969-1970,Oct-12,(1969),Apr-20,(1970)
1970-1971,Nov-03,(1970),May-19,(1971)
1971-1972,Nov-19,(1971),Apr-21,(1972)
1972-1973,Nov-07,(1972),Apr-16,(1973)
1973-1974,Nov-26,(1973),Apr-04,(1974)
1974-1975,Nov-23,(1974),Apr-10,(1975)
1975-1976,Nov-09,(1975),May-02,(1976)
1976-1977,Oct-18,(1976),Apr-05,(1977)
1977-1978,Oct-10,(1977),Apr-20,(1978)
1978-1979,Nov-12,(1978),Apr-05,(1979)
1979-1980,Nov-01,(1979),Apr-09,(1980)
1980-1981,Nov-13,(1980),Apr-04,(1981)
1981-1982,Oct-24,(1981),Apr-20,(1982)
1982-1983,Oct-19,(1982),Apr-16,(1983)
1983-1984,Nov-09,(1983),Apr-30,(1984)
1984-1985,Oct-29,(1984),Mar-31,(1985)
1985-1986,Sep-24,(1985),Apr-14,(1986)
1986-1987,Nov-08,(1986),Mar-14,(1987)
1987-1988,Oct-24,(1987),Apr-23,(1988)
1988-1989,Oct-23,(1988),May-05,(1989)
1989-1990,Nov-02,(1989),Apr-16,(1990)
1990-1991,Nov-03,(1990),May-05,(1991)
1991-1992,Oct-31,(1991),Apr-10,(1992)
1992-1993,Oct-15,(1992),Apr-15,(1993)
1993-1994,Nov-04,(1993),Apr-29,(1994)
1994-1995,Nov-27,(1994),Apr-18,(1995)
1995-1996,Oct-24,(1995),Apr-26,(1996)
1996-1997,Nov-15,(1996),Apr-10,(1997)
1997-1998,Nov-02,(1997),Mar-23,(1998)
1998-1999,Nov-08,(1998),Mar-09,(1999)
1999-2000,Nov-23,(1999),Apr-12,(2000)
2000-2001,Nov-07,(2000),Apr-02,(2001)
2001-2002,Oct-24,(2001),Apr-28,(2002)
2002-2003,Oct-20,(2002),Apr-05,(2003)
2003-2004,Nov-03,(2003),Mar-16,(2004)
2004-2005,Nov-27,(2004),Mar-18,(2005)
2005-2006,Nov-15,(2005),Mar-23,(2006)
2006-2007,Nov-10,(2006),Apr-12,(2007)
2007-2008,Nov-21,(2007),Apr-26,(2008)
2008-2009,Nov-07,(2008),Apr-05,(2009)
2009-2010,Oct-10,(2009),Feb-23,(2010)
2010-2011,Nov-13,(2010),Apr-20,(2011)
2011-2012,Nov-19,(2011),Mar-08,(2012)
2012-2013,Nov-12,(2012),May-03,(2013)
2013-2014,Nov-05,(2013),Apr-16,(2014)
2014-2015,Nov-10,(2014),Apr-10,(2015)
2015-2016,Nov-26,(2015),Apr-08,(2016)
2016-2017,Nov-18,(2016),Apr-10,(2017)
2017-2018,Oct-27,(2017),Apr-16,(2018)
2018-2019,Oct-14,(2018),Apr-12,(2019)
